head_entity,head_type,relation,tail_type,tail_entity
798,paper,use,method,Inception网络
798,paper,focus,problems,语音分类
语音分类,problems,solve,method,Inception网络
799,paper,use,method,Mask R-CNN
799,paper,focus,problems,文字检测
文字检测,problems,solve,method,Mask R-CNN
800,paper,focus,problems,恶意代码分类
801,paper,use,method,NSGA-Ⅱ
801,paper,focus,problems,多目标优化
多目标优化,problems,solve,method,NSGA-Ⅱ
802,paper,use,method,PP-YOLO
802,paper,use,method,Deep-SORT
802,paper,focus,problems,实时跟踪
实时跟踪,problems,solve,method,PP-YOLO
实时跟踪,problems,solve,method,Deep-SORT
803,paper,use,method,RetinaNet
803,paper,focus,problems,船舶检测
船舶检测,problems,solve,method,RetinaNet
804,paper,use,method,SAC算法
804,paper,focus,problems,路径规划
路径规划,problems,solve,method,SAC算法
805,paper,use,method,SOLOv2
805,paper,focus,problems,钢液检测
钢液检测,problems,solve,method,SOLOv2
806,paper,use,method,U-Net
806,paper,focus,problems,图像的分割
图像的分割,problems,solve,method,U-Net
807,paper,use,method,U-Net
807,paper,focus,problems,图像分割
图像分割,problems,solve,method,U-Net
808,paper,use,method,VarifocalNet
808,paper,focus,problems,目标检测
目标检测,problems,solve,method,VarifocalNet
809,paper,use,method,VGG网络
809,paper,focus,problems,阿尔兹海默症分类
阿尔兹海默症分类,problems,solve,method,VGG网络
810,paper,use,method,YOLOv2
810,paper,use,method,迁移学习
810,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv2
目标检测,problems,solve,method,迁移学习
811,paper,use,method,YOLOv3
811,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv3
812,paper,use,method,YOLOv3
812,paper,focus,problems,关键部件检测
关键部件检测,problems,solve,method,YOLOv3
813,paper,use,method,YOLOv3
813,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv3
814,paper,use,method,YOLOv3
814,paper,focus,problems,属性识别
属性识别,problems,solve,method,YOLOv3
815,paper,use,method,YOLOv3
815,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv3
816,paper,use,method,YOLOv4
816,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,YOLOv4
817,paper,use,method,YOLOv4
817,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv4
818,paper,use,method,YOLOv5s
818,paper,focus,problems,自动检测
自动检测,problems,solve,method,YOLOv5s
818,paper,focus,problems,识别
自动检测,problems,solve,method,YOLOv5s
识别,problems,solve,method,YOLOv5s
819,paper,use,method,YOLOv5
819,paper,focus,problems,检测
检测,problems,solve,method,YOLOv5
820,paper,use,method,YOLOv5算法
820,paper,focus,problems,目标检测
目标检测,problems,solve,method,YOLOv5算法
821,paper,use,method,YYOOLLOOvv 5
821,paper,focus,problems,目标检测
目标检测,problems,solve,method,YYOOLLOOvv 5
822,paper,use,method,残差结构
822,paper,focus,problems,肺结节检测
肺结节检测,problems,solve,method,残差结构
823,paper,use,method,残差卷积自编码网络
823,paper,focus,problems,故障诊断
故障诊断,problems,solve,method,残差卷积自编码网络
824,paper,use,method,残差网络
824,paper,focus,problems,阿尔兹海默症分类
阿尔兹海默症分类,problems,solve,method,残差网络
825,paper,use,method,BSMOTE
825,paper,use,method,时序特征
825,paper,focus,problems,故障采样
故障采样,problems,solve,method,BSMOTE
故障采样,problems,solve,method,时序特征
826,paper,use,method,Faster R-CNN
826,paper,focus,problems,目标检测
目标检测,problems,solve,method,Faster R-CNN
827,paper,use,method,Kruskal
827,paper,focus,problems,运输规划
运输规划,problems,solve,method,Kruskal
828,paper,use,method,Mask R-CNN
828,paper,focus,problems,裂缝检测
裂缝检测,problems,solve,method,Mask R-CNN
829,paper,use,method,Mask R-CNN
829,paper,focus,problems,图像分割
图像分割,problems,solve,method,Mask R-CNN
830,paper,use,method,Mask R-CNN
830,paper,focus,problems,行人细粒度检测
行人细粒度检测,problems,solve,method,Mask R-CNN
831,paper,use,method,YOLOv5
831,paper,focus,problems,病害检测
病害检测,problems,solve,method,YOLOv5
832,paper,use,method,Faster R-CNN
832,paper,focus,problems,图像识别
图像识别,problems,solve,method,Faster R-CNN
833,paper,use,method,双向长短期记忆网络
833,paper,focus,problems,摘要生成
摘要生成,problems,solve,method,双向长短期记忆网络
834,paper,use,method,一维卷积神经网络
834,paper,focus,problems,流量检测
流量检测,problems,solve,method,一维卷积神经网络
835,paper,use,method,自注意力长短期记忆网络
835,paper,focus,problems,故障预检测
故障预检测,problems,solve,method,自注意力长短期记忆网络
836,paper,use,method,A*算法
836,paper,focus,problems,导航
导航,problems,solve,method,A*算法
837,paper,use,method,共生生物搜索算法
837,paper,focus,problems,阈值分割
阈值分割,problems,solve,method,共生生物搜索算法
838,paper,use,method,胶囊网络
838,paper,focus,problems,文本分类
文本分类,problems,solve,method,胶囊网络
839,paper,use,method,胶囊网络
839,paper,focus,problems,推荐
推荐,problems,solve,method,胶囊网络
840,paper,use,method,鲸鱼优化算法
840,paper,focus,problems,态检测
态检测,problems,solve,method,鲸鱼优化算法
841,paper,use,method,鲸鱼优化算法
841,paper,focus,problems,多目标鲁棒优化设计
多目标鲁棒优化设计,problems,solve,method,鲸鱼优化算法
842,paper,use,method,卷积神经网络
842,paper,focus,problems,入侵检测
入侵检测,problems,solve,method,卷积神经网络
843,paper,use,method,卷积神经网络
843,paper,use,method,支持向量机结合
843,paper,focus,problems,表情识别
表情识别,problems,solve,method,卷积神经网络
表情识别,problems,solve,method,支持向量机结合
844,paper,use,method,空间金字塔池化
844,paper,use,method,卷积神经网络
844,paper,focus,problems,标志识别
标志识别,problems,solve,method,空间金字塔池化
标志识别,problems,solve,method,卷积神经网络
845,paper,use,method,粒子群优化算法
845,paper,focus,problems,路径规划
路径规划,problems,solve,method,粒子群优化算法
846,paper,use,method,粒子群优化算法
846,paper,use,method,遗传变异
846,paper,focus,problems,图像分割
图像分割,problems,solve,method,粒子群优化算法
图像分割,problems,solve,method,遗传变异
847,paper,use,method,三元组网络
847,paper,use,method,K近邻算法
847,paper,focus,problems,入侵检测
入侵检测,problems,solve,method,三元组网络
入侵检测,problems,solve,method,K近邻算法
848,paper,use,method,深度残差网络
848,paper,focus,problems,图像识别
图像识别,problems,solve,method,深度残差网络
849,paper,use,method,深度残差网络
849,paper,focus,problems,光伏板积灰程度识别
光伏板积灰程度识别,problems,solve,method,深度残差网络
850,paper,use,method,时空残差卷积神经网络
850,paper,focus,problems,交通流预测
交通流预测,problems,solve,method,时空残差卷积神经网络
851,paper,use,method,RRT*算法
851,paper,focus,problems,路径规划
路径规划,problems,solve,method,RRT*算法
852,paper,use,method,一维卷积
852,paper,use,method,双向长短期记忆神经网络
852,paper,focus,problems,故障诊断
故障诊断,problems,solve,method,一维卷积
故障诊断,problems,solve,method,双向长短期记忆神经网络
853,paper,use,method,遗传算法
853,paper,focus,problems,生产调度
生产调度,problems,solve,method,遗传算法
854,paper,use,method,遗传算法
854,paper,focus,problems,路径规划
路径规划,problems,solve,method,遗传算法
855,paper,use,method,遗传算法
855,paper,use,method,图神经网络
855,paper,focus,problems,股市波动预测
股市波动预测,problems,solve,method,遗传算法
股市波动预测,problems,solve,method,图神经网络
856,paper,use,method,注意力机制
856,paper,focus,problems,交通标志检测
交通标志检测,problems,solve,method,注意力机制
857,paper,use,method,注意力机制
857,paper,focus,problems,图像描述生成
图像描述生成,problems,solve,method,注意力机制
858,paper,use,method,高分辨率网络
858,paper,use,method,图卷积网络
858,paper,focus,problems,人体重建
人体重建,problems,solve,method,高分辨率网络
人体重建,problems,solve,method,图卷积网络
859,paper,use,method,高斯差分特征网络
859,paper,focus,problems,目标检测
目标检测,problems,solve,method,高斯差分特征网络
860,paper,use,method,关系图卷积网络
860,paper,focus,problems,漏洞检测
漏洞检测,problems,solve,method,关系图卷积网络
861,paper,use,method,关系自适应解码
861,paper,focus,problems,实体关系联合抽取
实体关系联合抽取,problems,solve,method,关系自适应解码
862,paper,use,method,灰度共生矩阵
862,paper,use,method,同步正交匹配追踪
862,paper,focus,problems,图像压缩
图像压缩,problems,solve,method,灰度共生矩阵
图像压缩,problems,solve,method,同步正交匹配追踪
863,paper,use,method,灰度共生矩阵相似图
863,paper,focus,problems,图像质量评价
图像质量评价,problems,solve,method,灰度共生矩阵相似图
864,paper,use,method,灰度梯度共生矩阵
864,paper,focus,problems,灰尘检测
灰尘检测,problems,solve,method,灰度梯度共生矩阵
865,paper,use,method,混沌麻雀搜索算法
865,paper,focus,problems,航迹规划
航迹规划,problems,solve,method,混沌麻雀搜索算法
866,paper,use,method,混合深度卷积网络
866,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,混合深度卷积网络
867,paper,use,method,混合注意力模型
867,paper,focus,problems,阴影检测
阴影检测,problems,solve,method,混合注意力模型
868,paper,use,method,机器视觉
868,paper,use,method,轻量级卷积网络
868,paper,focus,problems,质量检测
质量检测,problems,solve,method,机器视觉
质量检测,problems,solve,method,轻量级卷积网络
869,paper,use,method,级联卷积神经网络
869,paper,focus,problems,特征提取
特征提取,problems,solve,method,级联卷积神经网络
870,paper,use,method,级联全卷积神经网络
870,paper,focus,problems,自动识别
自动识别,problems,solve,method,级联全卷积神经网络
871,paper,use,method,级联神经网络
871,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,级联神经网络
872,paper,use,method,级联生成对抗网络
872,paper,focus,problems,图像去雾
图像去雾,problems,solve,method,级联生成对抗网络
873,paper,use,method,集成LightGBM
873,paper,use,method,贝叶斯优化策略
873,paper,focus,problems,房价智能评估
房价智能评估,problems,solve,method,集成LightGBM
房价智能评估,problems,solve,method,贝叶斯优化策略
874,paper,use,method,加速残差网络
874,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,加速残差网络
875,paper,use,method,胶囊网络
875,paper,focus,problems,情感分析
情感分析,problems,solve,method,胶囊网络
876,paper,use,method,胶囊网络
876,paper,focus,problems,推荐
推荐,problems,solve,method,胶囊网络
877,paper,use,method,胶囊网络
877,paper,focus,problems,标志识别
标志识别,problems,solve,method,胶囊网络
878,paper,use,method,结构化遮挡编码
878,paper,use,method,极限学习机
878,paper,focus,problems,人脸识别
人脸识别,problems,solve,method,结构化遮挡编码
人脸识别,problems,solve,method,极限学习机
879,paper,use,method,紧耦合时空双流卷积神经网络
879,paper,focus,problems,动作识别
动作识别,problems,solve,method,紧耦合时空双流卷积神经网络
880,paper,use,method,感知哈希算法
880,paper,use,method,特征融合
880,paper,focus,problems,恶意代码检测
恶意代码检测,problems,solve,method,感知哈希算法
恶意代码检测,problems,solve,method,特征融合
881,paper,use,method,金字塔分割注意力网络
881,paper,focus,problems,深度估计
深度估计,problems,solve,method,金字塔分割注意力网络
882,paper,use,method,近似U型网络结构
882,paper,focus,problems,图像去噪
图像去噪,problems,solve,method,近似U型网络结构
883,paper,use,method,经验模态分解
883,paper,use,method,长短期记忆神经网络
883,paper,focus,problems,交通流量预测
交通流量预测,problems,solve,method,经验模态分解
交通流量预测,problems,solve,method,长短期记忆神经网络
884,paper,use,method,经验模态分解
884,paper,use,method,多分支神经网络
884,paper,focus,problems,功率预测
功率预测,problems,solve,method,经验模态分解
功率预测,problems,solve,method,多分支神经网络
885,paper,use,method,精细化残差U-Net
885,paper,focus,problems,分割
分割,problems,solve,method,精细化残差U-Net
886,paper,use,method,径向变换
886,paper,use,method,AlexNet
886,paper,focus,problems,图像识别
图像识别,problems,solve,method,径向变换
图像识别,problems,solve,method,AlexNet
887,paper,use,method,句级别GAN
887,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,句级别GAN
888,paper,use,method,聚类关联网络
888,paper,focus,problems,行为识别
行为识别,problems,solve,method,聚类关联网络
889,paper,use,method,卷积编解码器
889,paper,use,method,门控循环单元
889,paper,focus,problems,语音分离
语音分离,problems,solve,method,卷积编解码器
语音分离,problems,solve,method,门控循环单元
890,paper,use,method,卷积神经网络
890,paper,focus,problems,目标检测
目标检测,problems,solve,method,卷积神经网络
891,paper,use,method,卷积神经网络
891,paper,focus,problems,图像左心室分割
图像左心室分割,problems,solve,method,卷积神经网络
892,paper,use,method,卷积神经网络
892,paper,focus,problems,图像去雾
图像去雾,problems,solve,method,卷积神经网络
893,paper,use,method,卷积神经网络
893,paper,focus,problems,火灾识别
火灾识别,problems,solve,method,卷积神经网络
894,paper,use,method,卷积神经网络
894,paper,focus,problems,故障诊断
故障诊断,problems,solve,method,卷积神经网络
895,paper,use,method,卷积神经网络
895,paper,focus,problems,倾斜检测
倾斜检测,problems,solve,method,卷积神经网络
896,paper,use,method,卷积神经网络
896,paper,focus,problems,图像重建
图像重建,problems,solve,method,卷积神经网络
897,paper,use,method,卷积神经网络
897,paper,focus,problems,裂缝识别
裂缝识别,problems,solve,method,卷积神经网络
897,paper,focus,problems,测量
裂缝识别,problems,solve,method,卷积神经网络
测量,problems,solve,method,卷积神经网络
898,paper,use,method,卷积神经网络
898,paper,focus,problems,CT重建
CT重建,problems,solve,method,卷积神经网络
899,paper,use,method,卷积神经网络
899,paper,focus,problems,图像分类
图像分类,problems,solve,method,卷积神经网络
900,paper,use,method,卷积神经网络
900,paper,focus,problems,病害检测
病害检测,problems,solve,method,卷积神经网络
901,paper,use,method,卷积神经网络
901,paper,use,method,Transformer
901,paper,focus,problems,文本识别
文本识别,problems,solve,method,卷积神经网络
文本识别,problems,solve,method,Transformer
902,paper,use,method,卷积神经网络
902,paper,focus,problems,标志识别
标志识别,problems,solve,method,卷积神经网络
903,paper,use,method,卷积神经网络
903,paper,use,method,情感倾向点互信息算法
903,paper,focus,problems,情感词典构建
情感词典构建,problems,solve,method,卷积神经网络
情感词典构建,problems,solve,method,情感倾向点互信息算法
904,paper,use,method,卷积注意力模块
904,paper,use,method,双通道网络
904,paper,focus,problems,表情识别
表情识别,problems,solve,method,卷积注意力模块
表情识别,problems,solve,method,双通道网络
905,paper,use,method,可变形卷积
905,paper,use,method,自适应空间特征融合
905,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,可变形卷积
缺陷检测,problems,solve,method,自适应空间特征融合
906,paper,use,method,可分离金字塔
906,paper,focus,problems,语义分割
语义分割,problems,solve,method,可分离金字塔
907,paper,use,method,可微神经计算机
907,paper,use,method,贝叶斯网络
907,paper,focus,problems,知识推理
知识推理,problems,solve,method,可微神经计算机
知识推理,problems,solve,method,贝叶斯网络
908,paper,use,method,空洞空间金字塔池化
908,paper,use,method,多头自注意力
908,paper,focus,problems,特征提取
特征提取,problems,solve,method,空洞空间金字塔池化
特征提取,problems,solve,method,多头自注意力
909,paper,use,method,扩张卷积
909,paper,focus,problems,图像修复
图像修复,problems,solve,method,扩张卷积
910,paper,use,method,生成对抗网络
910,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,生成对抗网络
911,paper,use,method,雷达图像
911,paper,use,method,深度Q网络
911,paper,focus,problems,航路规划
航路规划,problems,solve,method,雷达图像
航路规划,problems,solve,method,深度Q网络
912,paper,use,method,离散灰狼算法
912,paper,focus,problems,路径规划
路径规划,problems,solve,method,离散灰狼算法
913,paper,use,method,离子运动-人工蜂群算法
913,paper,focus,problems,路径规划
路径规划,problems,solve,method,离子运动-人工蜂群算法
914,paper,use,method,连续型HMM
914,paper,use,method,PSO-SVM
914,paper,focus,problems,寿命预测
寿命预测,problems,solve,method,连续型HMM
寿命预测,problems,solve,method,PSO-SVM
915,paper,use,method,联邦学习
915,paper,focus,problems,流量预测
流量预测,problems,solve,method,联邦学习
916,paper,use,method,联邦学习
916,paper,focus,problems,内容分发策略
内容分发策略,problems,solve,method,联邦学习
917,paper,use,method,联邦增量学习
917,paper,focus,problems,数据共享
数据共享,problems,solve,method,联邦增量学习
918,paper,use,method,联合损失胶囊网络
918,paper,focus,problems,行人重识别
行人重识别,problems,solve,method,联合损失胶囊网络
919,paper,use,method,XGBoost
919,paper,focus,problems,语义识别
语义识别,problems,solve,method,XGBoost
920,paper,use,method,联合注意力机制
920,paper,focus,problems,图像去雨
图像去雨,problems,solve,method,联合注意力机制
921,paper,use,method,孪生检测网络
921,paper,focus,problems,视频追踪
视频追踪,problems,solve,method,孪生检测网络
922,paper,use,method,孪生区域候选网络
922,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,孪生区域候选网络
923,paper,use,method,孪生网络
923,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,孪生网络
924,paper,use,method,孪生网络
924,paper,focus,problems,手写签名鉴别
手写签名鉴别,problems,solve,method,孪生网络
925,paper,use,method,孪生网络
925,paper,use,method,Transformer
925,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,孪生网络
目标跟踪,problems,solve,method,Transformer
926,paper,use,method,孪生网络
926,paper,use,method,长短时记忆网络
926,paper,focus,problems,输油管道泄漏检测
输油管道泄漏检测,problems,solve,method,孪生网络
输油管道泄漏检测,problems,solve,method,长短时记忆网络
927,paper,use,method,孪生自适应图卷积算法
927,paper,focus,problems,点云分类与分割
点云分类与分割,problems,solve,method,孪生自适应图卷积算法
点云分类与分割,problems,solve,method,孪生自适应图卷积算法
928,paper,use,method,门控机制
928,paper,use,method,卷积神经网络
928,paper,focus,problems,情感分析
情感分析,problems,solve,method,门控机制
情感分析,problems,solve,method,卷积神经网络
929,paper,use,method,门控卷积
929,paper,focus,problems,交通流预测
交通流预测,problems,solve,method,门控卷积
930,paper,use,method,门控循环单元
930,paper,use,method,胶囊特征
930,paper,focus,problems,情感分析
情感分析,problems,solve,method,门控循环单元
情感分析,problems,solve,method,胶囊特征
931,paper,use,method,密集Inception
931,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,密集Inception
932,paper,use,method,密集连接卷积神经网络
932,paper,focus,problems,车辆检测与识别
车辆检测与识别,problems,solve,method,密集连接卷积神经网络
933,paper,use,method,密集连接卷积神经网络
933,paper,focus,problems,链路预测
链路预测,problems,solve,method,密集连接卷积神经网络
934,paper,use,method,密集连接块U-Net
934,paper,focus,problems,图像修复
图像修复,problems,solve,method,密集连接块U-Net
935,paper,use,method,密集神经网络
935,paper,focus,problems,图像着色
图像着色,problems,solve,method,密集神经网络
936,paper,use,method,膨胀卷积
936,paper,use,method,门控循环单元组合
936,paper,focus,problems,入侵检测
入侵检测,problems,solve,method,膨胀卷积
入侵检测,problems,solve,method,门控循环单元组合
937,paper,use,method,迁移孪生非负矩阵分解
937,paper,focus,problems,静脉识别
静脉识别,problems,solve,method,迁移孪生非负矩阵分解
938,paper,use,method,迁移学习
938,paper,use,method,并行卷积神经
938,paper,focus,problems,牦牛脸识别
牦牛脸识别,problems,solve,method,迁移学习
牦牛脸识别,problems,solve,method,并行卷积神经
939,paper,use,method,迁移学习
939,paper,focus,problems,文本共情预测
文本共情预测,problems,solve,method,迁移学习
940,paper,use,method,强化学习
940,paper,focus,problems,路径规划
路径规划,problems,solve,method,强化学习
941,paper,use,method,强化学习
941,paper,focus,problems,决策优化
决策优化,problems,solve,method,强化学习
942,paper,use,method,强化学习
942,paper,focus,problems,路径推荐
路径推荐,problems,solve,method,强化学习
943,paper,use,method,YOLOv4
943,paper,focus,problems,实时检测
实时检测,problems,solve,method,YOLOv4
944,paper,use,method,分组注意力模块
944,paper,focus,problems,图像分类
图像分类,problems,solve,method,分组注意力模块
945,paper,use,method,卷积神经网络
945,paper,focus,problems,病害识别
病害识别,problems,solve,method,卷积神经网络
946,paper,focus,problems,声音识别
947,paper,use,method,轻量级网络
947,paper,focus,problems,缺陷分类
缺陷分类,problems,solve,method,轻量级网络
948,paper,use,method,轻量密集神经网络
948,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,轻量密集神经网络
949,paper,use,method,轻量自动残差缩放网络
949,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,轻量自动残差缩放网络
950,paper,use,method,情感融合
950,paper,use,method,多维自注意力机制
950,paper,focus,problems,情感分析
情感分析,problems,solve,method,情感融合
情感分析,problems,solve,method,多维自注意力机制
951,paper,use,method,全变分模型
951,paper,focus,problems,影像厚云去除
影像厚云去除,problems,solve,method,全变分模型
952,paper,use,method,权重量化
952,paper,use,method,信息压缩
952,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,权重量化
超分辨率重建,problems,solve,method,信息压缩
953,paper,use,method,强化学习
953,paper,focus,problems,实体关系联合抽取
实体关系联合抽取,problems,solve,method,强化学习
954,paper,use,method,强化迭代学习
954,paper,focus,problems,轨迹控制
轨迹控制,problems,solve,method,强化迭代学习
955,paper,use,method,嵌入式Jetson TX2
955,paper,focus,problems,目标检测
目标检测,problems,solve,method,嵌入式Jetson TX2
956,paper,use,method,迁移成分分析
956,paper,use,method,支持向量机
956,paper,focus,problems,并发症预测
并发症预测,problems,solve,method,迁移成分分析
并发症预测,problems,solve,method,支持向量机
957,paper,use,method,人工蜂群
957,paper,use,method,模糊C均值
957,paper,use,method,自适应小波变换
957,paper,focus,problems,图像分割
图像分割,problems,solve,method,人工蜂群
图像分割,problems,solve,method,模糊C均值
图像分割,problems,solve,method,自适应小波变换
958,paper,use,method,人工欠曝光融合
958,paper,use,method,白平衡技术
958,paper,focus,problems,图像增强
图像增强,problems,solve,method,人工欠曝光融合
图像增强,problems,solve,method,白平衡技术
959,paper,use,method,人工势场法
959,paper,use,method,启发式采样
959,paper,focus,problems,路径收敛
路径收敛,problems,solve,method,人工势场法
路径收敛,problems,solve,method,启发式采样
960,paper,use,method,人体骨架特征编码
960,paper,focus,problems,动作识别
动作识别,problems,solve,method,人体骨架特征编码
961,paper,use,method,人体关节点数据
961,paper,focus,problems,行为识别
行为识别,problems,solve,method,人体关节点数据
962,paper,use,method,人体模型约束
962,paper,focus,problems,步态动态识别
步态动态识别,problems,solve,method,人体模型约束
963,paper,use,method,融合通道注意力
963,paper,use,method,Uformer
963,paper,focus,problems,图像稀疏重建
图像稀疏重建,problems,solve,method,融合通道注意力
图像稀疏重建,problems,solve,method,Uformer
964,paper,use,method,三维残差稠密网络
964,paper,focus,problems,行为识别
行为识别,problems,solve,method,三维残差稠密网络
965,paper,use,method,三维卷积神经网络
965,paper,focus,problems,特征识别
特征识别,problems,solve,method,三维卷积神经网络
966,paper,use,method,三维卷积神经网络
966,paper,focus,problems,事件识别
事件识别,problems,solve,method,三维卷积神经网络
967,paper,use,method,三维卷积神经网络
967,paper,focus,problems,湖泊提取
湖泊提取,problems,solve,method,三维卷积神经网络
968,paper,use,method,三维时空地图
968,paper,use,method,运动分解
968,paper,focus,problems,路径规划
路径规划,problems,solve,method,三维时空地图
路径规划,problems,solve,method,运动分解
969,paper,use,method,深度LightGBM集成学习模型
969,paper,focus,problems,购买力预测
购买力预测,problems,solve,method,深度LightGBM集成学习模型
970,paper,use,method,深度Q网络
970,paper,focus,problems,运动规划
运动规划,problems,solve,method,深度Q网络
971,paper,use,method,深度Q学习
971,paper,use,method,可变形卷积U-Net
971,paper,focus,problems,分割
分割,problems,solve,method,深度Q学习
分割,problems,solve,method,可变形卷积U-Net
972,paper,use,method,深度残差
972,paper,use,method,特征金字塔网络
972,paper,focus,problems,关键点定位
关键点定位,problems,solve,method,深度残差
关键点定位,problems,solve,method,特征金字塔网络
973,paper,use,method,深度残差网络
973,paper,focus,problems,图像检索
图像检索,problems,solve,method,深度残差网络
974,paper,use,method,深度残差网络
974,paper,focus,problems,人脸识别
人脸识别,problems,solve,method,深度残差网络
975,paper,use,method,深度对比网络
975,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,深度对比网络
976,paper,use,method,生成对抗网络
976,paper,focus,problems,人脸检测
人脸检测,problems,solve,method,生成对抗网络
977,paper,use,method,深度多视图特征距离学习
977,paper,focus,problems,行人重识别
行人重识别,problems,solve,method,深度多视图特征距离学习
978,paper,use,method,深度混合卷积模型
978,paper,focus,problems,肺结节检测
肺结节检测,problems,solve,method,深度混合卷积模型
979,paper,use,method,深度集成模型
979,paper,focus,problems,事故预警
事故预警,problems,solve,method,深度集成模型
980,paper,use,method,注意力网络
980,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,注意力网络
981,paper,use,method,深度卷积神经网络
981,paper,focus,problems,肺结节检测
肺结节检测,problems,solve,method,深度卷积神经网络
982,paper,use,method,深度卷积神经网络
982,paper,focus,problems,目标检测
目标检测,problems,solve,method,深度卷积神经网络
983,paper,use,method,深度卷积生成对抗网络
983,paper,focus,problems,视频隐写
视频隐写,problems,solve,method,深度卷积生成对抗网络
984,paper,use,method,深度卷积网络
984,paper,focus,problems,模式识别
模式识别,problems,solve,method,深度卷积网络
985,paper,use,method,深度卷积长短期记忆网络
985,paper,focus,problems,烟雾检测
烟雾检测,problems,solve,method,深度卷积长短期记忆网络
986,paper,use,method,深度卷积长短时神经网络
986,paper,focus,problems,视频帧预测
视频帧预测,problems,solve,method,深度卷积长短时神经网络
987,paper,use,method,深度可分离卷积
987,paper,use,method,宽残差网络
987,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,深度可分离卷积
超分辨率重建,problems,solve,method,宽残差网络
988,paper,use,method,深度迁移学习
988,paper,focus,problems,肺结节分割
肺结节分割,problems,solve,method,深度迁移学习
989,paper,use,method,深度强化学习
989,paper,focus,problems,城市交通信号控制
城市交通信号控制,problems,solve,method,深度强化学习
990,paper,use,method,深度强化学习
990,paper,focus,problems,路径优化
路径优化,problems,solve,method,深度强化学习
991,paper,use,method,深度强化学习
991,paper,focus,problems,调度优化
调度优化,problems,solve,method,深度强化学习
992,paper,use,method,深度强化学习
992,paper,focus,problems,运动控制
运动控制,problems,solve,method,深度强化学习
993,paper,use,method,深度强化学习
993,paper,focus,problems,资源分配
资源分配,problems,solve,method,深度强化学习
994,paper,focus,problems,划痕识别
995,paper,focus,problems,命名实体识别
996,paper,focus,problems,人像分割
997,paper,use,method,深度视觉注意神经网络
997,paper,focus,problems,自动驾驶
自动驾驶,problems,solve,method,深度视觉注意神经网络
998,paper,use,method,深度时空Q网络
998,paper,focus,problems,自动驾驶运动规划
自动驾驶运动规划,problems,solve,method,深度时空Q网络
999,paper,use,method,深度时空残差卷积神经网络
999,paper,focus,problems,行为识别
行为识别,problems,solve,method,深度时空残差卷积神经网络
1000,paper,use,method,深度特征融合
1000,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,深度特征融合
1001,paper,use,method,深度图神经网络
1001,paper,focus,problems,推荐
推荐,problems,solve,method,深度图神经网络
1002,paper,use,method,深度图像增强
1002,paper,focus,problems,车道线检测
车道线检测,problems,solve,method,深度图像增强
1003,paper,focus,problems,人脸识别
1004,paper,focus,problems,位姿估计
1005,paper,focus,problems,步态识别
1006,paper,focus,problems,自动分割
1007,paper,focus,problems,车辆检测
1008,paper,focus,problems,障碍物检测
1009,paper,focus,problems,目标检测
1010,paper,focus,problems,对话生成
1011,paper,focus,problems,语义分割
1012,paper,focus,problems,人脸识别
1013,paper,focus,problems,关系抽取
1014,paper,focus,problems,图像复原
1015,paper,focus,problems,水位线检测
1016,paper,focus,problems,边缘检测
1017,paper,focus,problems,图像识别
1018,paper,focus,problems,行人再识别
1019,paper,focus,problems,行人重识别
1020,paper,focus,problems,缺陷检测
1021,paper,focus,problems,图像分割
1022,paper,focus,problems,影像分割
1023,paper,focus,problems,缺陷在线检测
1024,paper,focus,problems,图像分割
1025,paper,use,method,深度自编码
1025,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,深度自编码
1026,paper,use,method,自回归模型
1026,paper,focus,problems,流量预测
流量预测,problems,solve,method,自回归模型
1027,paper,use,method,生成对抗双网络
1027,paper,focus,problems,视频翻译
视频翻译,problems,solve,method,生成对抗双网络
1028,paper,use,method,生成对抗网络
1028,paper,focus,problems,建筑检测
建筑检测,problems,solve,method,生成对抗网络
1029,paper,use,method,生成对抗网络
1029,paper,focus,problems,数据增强
数据增强,problems,solve,method,生成对抗网络
1030,paper,use,method,生成对抗网络
